CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
13517050,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO AMAPÁ - SICOOB AMAPÁ,201105,B3S,I,2,Cooperativa de Crédito,,AP,Macapá,S5,,,,I
83836114,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO PARÁ - SICOOB COOESA,199406,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,PA,Belém,S5,,,,A
02931668,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO RIO DE JANEIRO - SICOOB FLUMINENSE,199812,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,RJ,Campos dos Goytacazes,S5,,,,A
01644264,2025-12-01,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA, CIRCUITO DO OURO, GRANDE BH E RIO GRANDE DO NORTE LTDA. -  SICOOB CREDIMEPI",199702,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MG,João Monlevade,S5,,,,A
71154876,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NOROESTE DE MINAS GERAIS LTDA.   SICOOB CREDIPINHO,199312,B3S,I,2,Cooperativa de Crédito,Crédito misto,MG,João Pinheiro,S5,,,,A
23623636,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT,201512,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MT,Sinop,S5,,,,A
02250781,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE PAULISTA - SICOOB UNIMAIS NORTE PAULISTA,199712,B3S,I,2,Cooperativa de Crédito,,SP,Bebedouro,S5,,,,I
09424988,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE,200804,B3S,I,2,Cooperativa de Crédito,Crédito misto,MA,Açailândia,S5,,,,A
71297899,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MINEIRO LTDA. - SICOOB CREDICOPA,199311,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MG,Patos de Minas,S5,,,,A
26178533,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL,199001,B3S,I,2,Cooperativa de Crédito,Crédito rural,MG,Ituiutaba,S5,,,,A
10511786,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DO PARANÁ - SICOOB SUDOESTE,200901,B3S,I,2,Cooperativa de Crédito,,PR,Pato Branco,,,,,I
24795049,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO,198811,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Rio Verde,S5,,,,A
03427097,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL CATARINENSE - ACENTRA,199911,B3S,I,2,Cooperativa de Crédito,Mútuo com financiamento relevante,SC,Criciúma,S5,,,,A
01604998,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS,199701,B3S,I,2,Cooperativa de Crédito,Crédito misto,MG,São Gonçalo do Sapucaí,S5,,,,A
01673891,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA.   UNICRED ITAJUBÁ,199704,B3S,I,2,Cooperativa de Crédito,,MG,Itajubá,,,,,I
00599085,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUL E SUDOESTE MINEIRO LTDA. - SICOOB CREDIACIP,199502,B3S,I,2,Cooperativa de Crédito,,MG,Passos,,,,,I
26960328,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO TOCANTINS LTDA,199111,B3S,I,2,Cooperativa de Crédito,Crédito misto,TO,Paraíso do Tocantins,S5,,,,A
86829827,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE - SICOOB CREDIVALE/SC,199405,B3S,I,2,Cooperativa de Crédito,Crédito misto,SC,Braço do Norte,S5,,,,A
19869338,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO,196701,B3S,I,2,Cooperativa de Crédito,Atípicas,MG,Ipatinga,S5,,,,A
05244177,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO ARAGUAIA - SICOOB ARAGUAIA,200211,B3S,I,2,Cooperativa de Crédito,,MT,Barra do Garças,,,,,I
24830879,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO ARAGUAIA LTDA.,198905,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Mineiros,S5,,,,A
24799033,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAÍBA LTDA.,198811,B3S,I,2,Cooperativa de Crédito,Crédito misto,GO,Quirinópolis,S5,,,,A
01637949,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA,199702,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,SP,Presidente Prudente,S5,,,,A
25683475,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO RIO GRANDE LTDA. - SICOOB UBERABA,198906,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,MG,Uberaba,S5,,,,A
00968602,2025-12-01,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.,198507,B3S,I,2,Cooperativa de Crédito,Crédito rural,GO,Goianésia,S5,,,,A
04544165,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE MADEIRA-MAMORÉ - SICOOB PORTOCREDI,200109,B3S,I,2,Cooperativa de Crédito,,RO,Porto Velho,S5,,,,I
07108146,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.,200501,B3S,I,2,Cooperativa de Crédito,,GO,Crixás,S5,,,,I
02480577,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO E DOS ADVOGADOS LTDA. - SICOOB CREDIJUR,199804,B3S,I,2,Cooperativa de Crédito,Mútuo com financiamento relevante,GO,Goiânia,S5,,,,A
07789195,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO E DOS TRANSPORTADORES RODOVIÁRIOS DE VEÍCULOS - SICOOB CREDCEG,200606,B3S,I,2,Cooperativa de Crédito,Mútuo com financiamento relevante,SP,São Bernardo do Campo,S5,,,,A
03329154,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LEGISLATIVO LTDA.– SICOOB LEGISLATIVO,199911,B3S,I,2,Cooperativa de Crédito,,DF,Brasília,S5,,,,I
37079720,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LTDA. - SICOOB CREDIJUSTRA,199111,B3S,I,2,Cooperativa de Crédito,Mútuo PF com conta corrente,DF,Brasília,S5,,,,A
07026923,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB ARENITO PARANÁ / SÃO PAULO,200412,B3S,I,2,Cooperativa de Crédito,Crédito misto,PR,Umuarama,S5,,,,A
25363615,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB COOPJUS LTDA.,198811,B3S,I,2,Cooperativa de Crédito,Mútuo PF com conta corrente,MG,Belo Horizonte,S5,,,,A
08795285,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB CREDIACIL,200705,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,SP,Leme,S5,,,,A
01667352,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB CREDMISSÃO LTDA. - SICOOB CREDMISSÃO,199704,B3S,I,2,Cooperativa de Crédito,Crédito misto,MG,Pirapora,S5,,,,A
07946216,2025-12-01,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB UNIÃO SUDESTE,200608,B3S,I,2,Cooperativa de Crédito,Mútuo com relevância em PJ,SP,Santo André,S5,,,,A
